# wolfy irregular verbs v1
# generated	2026-08-22
# source	Princeton WordNet 3.0 verb.exc + правила tools/build_irregular_verbs.py
# format	base<TAB>вторая форма<TAB>третья форма, варианты через |
abide	abode	abode
address	addrest	addrest
arise	arose	arisen
awake	awoke	awoken
backbite	backbit	backbitten
backslide	backslid	backslidden
be	was|were	been
bear	bore	born|borne
beat	beaten	beaten
become	became	become
befall	befell	befallen
beget	begat|begot	begotten
begin	began	begun
behold	beheld	beholden
bend	bent	bent
beseech	besought	besought
bespeak	bespoke	bespoken
bestrew	bestrewn	bestrewn
bestride	bestrid|bestrode	bestridden
bet	bet	bet
bethink	bethought	bethought
bid	bid	bid
bind	bound	bound
bite	bit	bitten
bleed	bled	bled
bless	blest	blest
blow	blew	blown
break	broke	broken
breed	bred	bred
bring	brought	brought
broadcast	broadcast	broadcast
browbeat	browbeaten	browbeaten
build	built	built
burn	burnt	burnt
burst	burst	burst
buy	bought	bought
bypass	bypast	bypast
cast	cast	cast
catch	caught	caught
chide	chid	chidden
choose	chose	chosen
cleave	cleft|clove	cloven
cling	clung	clung
clothe	clad	clad
come	came	come
cost	cost	cost
countersink	countersank	countersunk
creep	crept	crept
crossbreed	crossbred	crossbred
curse	curst	curst
cut	cut	cut
deal	dealt	dealt
degas	degasses	degasses
dig	dug	dug
dive	dove	dove
do	did	done
draw	drew	drawn
dream	dreamt	dreamt
drink	drank	drunk
drive	drove	driven
dwell	dwelt	dwelt
eat	ate	eaten
fall	fell	fallen
feed	fed	fed
feel	felt	felt
fight	fought	fought
find	found	found
flee	fled	fled
fling	flung	flung
floodlight	floodlit	floodlit
fly	flew	flown
forbear	forbore	forborne
forbid	forbad|forbade	forbidden
forecast	forecast	forecast
forego	forewent	foregone
foreknow	foreknew	foreknown
foresee	foresaw	foreseen
foreshow	foreshown	foreshown
foretell	foretold	foretold
forget	forgot	forgotten
forgive	forgave	forgiven
forgo	forwent	forgone
forsake	forsook	forsaken
forswear	forswore	forsworn
freeze	froze	frozen
gainsay	gainsaid	gainsaid
gas	gasses	gasses
geld	gelt	gelt
get	got	got|gotten
ghostwrite	ghostwrote	ghostwritten
gild	gilt	gilt
gin	gan	gan
gird	girt	girt
give	gave	given
gnaw	gnawn	gnawn
go	went	gone
grave	graven	graven
grind	ground	ground
grip	gript	gript
grow	grew	grown
hamstring	hamstrung	hamstrung
hang	hung	hung
have	had	had
heave	hove	hove
hew	hewn	hewn
hide	hid	hidden
hit	hit	hit
hold	held	held
honey	honied	honied
hurt	hurt	hurt
indwell	indwelt	indwelt
inlay	inlaid	inlaid
interbreed	interbred	interbred
interweave	interwove	interwoven
inweave	inwove	inwoven
keep	kept	kept
kneel	knelt	knelt
know	knew	known
lade	laden	laden
lay	laid	laid
lead	led	led
lean	leant	leant
leap	leapt	leapt
learn	learnt	learnt
leave	left	left
lend	lent	lent
let	let	let
lie	lay	lain
light	lit	lit
lose	lost	lost
make	made	made
mean	meant	meant
meet	met	met
melt	molten	molten
misdeal	misdealt	misdealt
misgive	misgave	misgiven
mislay	mislaid	mislaid
mislead	misled	misled
misspell	misspelt	misspelt
misspend	misspent	misspent
mistake	mistook	mistaken
misunderstand	misunderstood	misunderstood
mow	mown	mown
nonplus	nonplusses	nonplusses
outbid	outbidden	outbidden
outdo	outdid	outdone
outdraw	outdrew	outdrawn
outfight	outfought	outfought
outgo	outwent	outgone
outgrow	outgrew	outgrown
outride	outrode	outridden
outrun	outran	outran
outsell	outsold	outsold
outshine	outshone	outshone
outwear	outwore	outworn
overbear	overbore	overborne
overbid	overbidden	overbidden
overcome	overcame	overcome
overdo	overdid	overdone
overdraw	overdrew	overdrawn
overdrive	overdrove	overdriven
overflow	overflown	overflown
overfly	overflew	overflew
overgrow	overgrew	overgrown
overhang	overhung	overhung
overlay	overlaid	overlaid
overlie	overlay	overlain
overpay	overpaid	overpaid
override	overrode	overridden
overrun	overran	overrun
oversee	oversaw	overseen
oversew	oversewn	oversewn
overshoot	overshot	overshot
oversleep	overslept	overslept
overspend	overspent	overspent
overtake	overtook	overtaken
overthrow	overthrew	overthrown
overwrite	overwrote	overwritten
partake	partook	partaken
pay	paid	paid
pen	pent	pent
plead	pled	pled
prepay	prepaid	prepaid
program	programmes	programmes
prove	proven	proven
put	put	put
quit	quit	quit
quiz	quizzes	quizzes
read	read	read
reave	reft	reft
rebuild	rebuilt	rebuilt
redo	redid	redone
reeve	rove	rove
remake	remade	remade
rend	rent	rent
repay	repaid	repaid
rerun	reran	reran
resew	resewn	resewn
retake	retook	retaken
retell	retold	retold
rethink	rethought	rethought
rewrite	rewrote	rewritten
rid	rid	rid
ride	rode	ridden
ring	rang	rung
rise	rose	risen
rive	riven	riven
run	ran	run
saw	sawn	sawn
say	said	said
see	saw	seen
seek	sought	sought
sell	sold	sold
send	sent	sent
set	set	set
sew	sewn	sewn
shake	shook	shaken
shave	shaven	shaven
shed	shed	shed
shew	shewn	shewn
shine	shone	shone
shit	shat	shat
shoe	shod	shod
shoot	shot	shot
show	shown	shown
shrink	shrank|shrunk	shrunken
shrive	shrove	shriven
shut	shut	shut
sightsee	sightsaw	sightseen
sing	sang	sung
sink	sank|sunk	sunken
sit	sat	sat
ski	ski'd	ski'd
skydive	skydove	skydove
slay	slew	slain
sleep	slept	slept
slide	slid	slidden
sling	slung	slung
slink	slunk	slunk
slit	slit	slit
smell	smelt	smelt
smite	smit|smote	smitten
sneak	snuck	snuck
sow	sown	sown
speak	spoke	spoken
speed	sped	sped
spell	spelt	spelt
spellbind	spellbound	spellbound
spend	spent	spent
spill	spilt	spilt
spin	spun	spun
spit	spat	spat
split	split	split
spoil	spoilt	spoilt
spotlight	spotlit	spotlit
spread	spread	spread
spring	sprang	sprung
squeegee	squilgee	squilgee
stand	stood	stood
stave	stove	stove
steal	stole	stolen
stick	stuck	stuck
sting	stung	stung
stink	stank	stunk
strew	strewn	strewn
stride	strode	stridden
strike	struck	struck
string	strung	strung
strive	strove	striven
swear	swore	sworn
sweep	swept	swept
swell	swollen	swollen
swim	swam	swum
swing	swung	swung
take	took	taken
taxi	taxying	taxying
teach	taught	taught
tear	tore	torn
tell	told	told
think	thought	thought
thrive	throve	thriven
throw	threw	thrown
thrust	thrust	thrust
transfix	transfixt	transfixt
transship	tranship	tranship
tread	trod	trodden
typewrite	typewrote	typewritten
unbend	unbent	unbent
unbind	unbound	unbound
unclothe	unclad	unclad
undergird	undergirt	undergirt
undergo	underwent	undergone
underlay	underlaid	underlaid
underlie	underlay	underlain
underpay	underpaid	underpaid
undersell	undersold	undersold
undershoot	undershot	undershot
understand	understood	understood
undertake	undertook	undertaken
underwrite	underwrote	underwritten
undo	undid	undone
unfreeze	unfroze	unfrozen
unlearn	unlearnt	unlearnt
unmake	unmade	unmade
unsay	unsaid	unsaid
unstring	unstrung	unstrung
unteach	untaught	untaught
unwind	unwound	unwound
upheave	uphove	uphove
uphold	upheld	upheld
uprise	uprose	uprisen
upset	upset	upset
wake	woke	woken
waylay	waylaid	waylaid
wear	wore	worn
weave	wove	woven
wed	wed	wed
weep	wept	wept
whipsaw	whipsawn	whipsawn
whiz	whizzes	whizzes
win	won	won
wind	wound	wound
withdraw	withdrew	withdrawn
withhold	withheld	withheld
withstand	withstood	withstood
work	wrought	wrought
wring	wrung	wrung
write	wrote	written
